P_id,CellSize,P_Area_ha_Excel
12986,118,104.55
13095,118,104.55
13213,118,104.55
13389,118,104.55
13502,118,104.55
13523,118,104.55
13780,118,104.55
13908,118,104.55
13919,118,104.55
14056,118,104.55
14189,118,104.55
14196,118,104.55
14319,118,104.55
14433,118,104.55
14491,118,104.55
14552,118,104.55
14886,118,104.55
15152,118,104.55
15276,118,104.55
15374,118,104.55
15651,118,104.55
15657,118,104.55
15672,118,104.55
16078,118,104.55
16217,118,104.55
16396,118,104.55
16547,118,104.55
16865,118,104.55
16971,118,104.55
17190,118,104.55
17204,118,104.55
17259,118,104.55
17374,118,104.55
17513,118,104.55
17626,118,104.55
17692,118,104.55
17762,118,104.55
18112,118,104.55
18223,118,104.55
18228,118,104.55
18252,118,104.55
18270,118,104.55
18342,118,104.55
18393,118,104.55
18443,118,104.55
18757,118,104.55
18831,118,104.55
18863,118,104.55
18911,118,104.55
19109,118,104.55
19195,118,104.55
19350,118,104.55
19498,118,104.55
19499,118,104.55
19528,118,104.55
19586,118,104.55
19649,118,104.55
19673,118,104.55
19963,118,104.55
20005,118,104.55
20182,118,104.55
20263,118,104.55
20872,118,104.55
21047,118,104.55
21210,118,104.55
21323,118,104.55
21366,118,104.55
21385,118,104.55
21459,118,104.55
21581,118,104.55
21717,118,104.55
21780,118,104.55
21798,118,104.55
21834,118,104.55
21845,118,104.55
22359,118,104.55
22379,118,104.55
22462,118,104.55
22473,118,104.55
22555,118,104.55
22558,118,104.55
22599,118,104.55
22735,118,104.55
22767,118,104.55
22845,118,104.55
22975,118,104.55
23042,118,104.55
23140,118,104.55
23146,118,104.55
23162,118,104.55
23229,118,104.55
23263,118,104.55
23282,118,104.55
23554,118,104.55
23675,118,104.55
23776,118,104.55
24124,118,104.55
24259,118,104.55
24457,118,104.55
24493,118,104.55
24503,118,104.55
24747,118,104.55
24793,118,104.55
24920,118,104.55
25032,118,104.55
25141,118,104.55
25217,118,104.55
25325,118,104.55
25453,118,104.55
25464,118,104.55
25702,118,104.55
25716,118,104.55
25834,118,104.55
26281,118,104.55
26344,118,104.55
26425,118,104.55
26480,118,104.55
26688,118,104.55
26697,118,104.55
26821,118,104.55
26918,118,104.55
26989,118,104.55
27132,118,104.55
27159,118,104.55
27183,118,104.55
27488,118,104.55
27816,118,104.55
27907,118,104.55
28109,118,104.55
28481,118,104.55
28492,118,104.55
